id;ime;slika;slika_content_type;datum
1;payment Administrator New Zealand;../fake-data/blob/hipster.png;image/png;2020-11-04T06:44:02
2;Persevering action-items;../fake-data/blob/hipster.png;image/png;2020-11-04T01:27:20
3;purple Generic;../fake-data/blob/hipster.png;image/png;2020-11-04T03:01:54
4;online Swiss Franc;../fake-data/blob/hipster.png;image/png;2020-11-03T16:10:37
5;index Ergonomic Soft Sausages;../fake-data/blob/hipster.png;image/png;2020-11-04T06:19:50
6;Savings Account Indian Rupee Ngultrum;../fake-data/blob/hipster.png;image/png;2020-11-03T19:43:07
7;COM Auto Loan Account vertical;../fake-data/blob/hipster.png;image/png;2020-11-03T23:46:08
8;Specialist;../fake-data/blob/hipster.png;image/png;2020-11-03T14:41:53
9;SQL deposit Investment Account;../fake-data/blob/hipster.png;image/png;2020-11-03T10:28:01
10;modular Ridge;../fake-data/blob/hipster.png;image/png;2020-11-04T03:19:06
