id;odgovor;datum;prikaz
1;pixel digital;2020-11-04T00:28:43;false
2;Reduced pricing structure Tasty Concrete Bacon;2020-11-03T23:41:55;false
3;Refined Plastic Car;2020-11-03T14:07:53;true
4;Soft;2020-11-04T00:00:41;false
5;Crescent technologies;2020-11-04T08:05:43;true
6;multimedia Principal;2020-11-03T18:52:01;false
7;Plastic Personal Loan Account mint green;2020-11-04T06:13:48;true
8;Kids Upgradable Unbranded;2020-11-03T13:08:47;true
9;array;2020-11-04T02:03:28;true
10;web-readiness;2020-11-03T12:32:03;true
