id;text;date;postoji
1;quantifying Visionary parsing;2020-11-03T15:45:06;true
2;Hawaii RSS attitude;2020-11-04T07:36:26;true
3;Plains backing up multi-byte;2020-11-03T16:49:17;false
4;Functionality evolve Internal;2020-11-04T06:38:10;false
5;Brand Legacy open architecture;2020-11-03T16:04:27;false
6;Hungary;2020-11-04T09:13:24;false
7;Fantastic Granite Table indexing internet solution;2020-11-03T19:36:18;true
8;Planner interactive neural;2020-11-03T22:43:19;false
9;red Alaska enhance;2020-11-04T03:52:43;false
10;synergize Chief Texas;2020-11-03T21:24:10;true
