id;ime;slika;slika_content_type;datum
1;Hungary microchip withdrawal;../fake-data/blob/hipster.png;image/png;2020-11-03T12:52:43
2;copy;../fake-data/blob/hipster.png;image/png;2020-11-03T13:14:54
3;relationships;../fake-data/blob/hipster.png;image/png;2020-11-03T17:00:43
4;architect Towels Squares;../fake-data/blob/hipster.png;image/png;2020-11-04T05:53:01
5;mindshare Utah Alaska;../fake-data/blob/hipster.png;image/png;2020-11-03T17:48:46
6;Identity microchip eco-centric;../fake-data/blob/hipster.png;image/png;2020-11-04T05:57:03
7;Bike tan Quality;../fake-data/blob/hipster.png;image/png;2020-11-03T10:09:59
8;RSS web-readiness;../fake-data/blob/hipster.png;image/png;2020-11-03T16:31:47
9;networks North Carolina grey;../fake-data/blob/hipster.png;image/png;2020-11-04T00:14:14
10;Outdoors Steel visionary;../fake-data/blob/hipster.png;image/png;2020-11-03T18:59:04
