id;ime;slika;slika_content_type;uploaded
1;grey HTTP Cotton;../fake-data/blob/hipster.png;image/png;2020-11-04T05:04:26
2;Industrial Designer magnetic;../fake-data/blob/hipster.png;image/png;2020-11-03T13:17:59
3;maximize Program Unbranded;../fake-data/blob/hipster.png;image/png;2020-11-03T13:53:19
4;Nakfa Kwacha;../fake-data/blob/hipster.png;image/png;2020-11-03T22:30:36
5;Avon Chips;../fake-data/blob/hipster.png;image/png;2020-11-03T23:40:32
6;New Zealand;../fake-data/blob/hipster.png;image/png;2020-11-04T04:03:22
7;plum Table Human;../fake-data/blob/hipster.png;image/png;2020-11-03T16:44:36
8;Knoll;../fake-data/blob/hipster.png;image/png;2020-11-03T20:41:09
9;compressing withdrawal;../fake-data/blob/hipster.png;image/png;2020-11-03T21:36:52
10;Senior Auto Loan Account AI;../fake-data/blob/hipster.png;image/png;2020-11-03T17:26:50
